antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'多線路服務', '音樂節目', '電視節目'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.16873773708306083,0.21517331589274036,0.1209941137998692,0.7170542635658914,3.3324497537758297,1.0,0.08468625539546959,2.773771020543465,0.8419971505730751,0.46019900497512434,0.6394799741602066,0.6396821469805141
"frozenset({'音樂節目', '網路類型_Fiber Optic', '電視節目'})","frozenset({'電影節目', '多線路服務'})",0.17658600392413343,0.2079790712884238,0.1209941137998692,0.6851851851851852,3.2944910319124157,1.0,0.08426792070119396,2.515831185319125,0.8458235837107957,0.45905707196029777,0.6025170504939291,0.6334730957372467
"frozenset({'網路類型_Fiber Optic', '電影節目', '電視節目'})","frozenset({'音樂節目', '多線路服務'})",0.16285153695225638,0.23871811641595814,0.1209941137998692,0.7429718875502008,3.1123397700390605,1.0,0.08211850164318275,2.961862328319163,0.8107263513513514,0.4312354312354313,0.6623745842476436,0.6249106013093471
"frozenset({'多線路服務', '電影節目', '網路類型_Fiber Optic'})","frozenset({'音樂節目', '電視節目', '電話服務'})",0.15304120340091562,0.25572269457161545,0.1209941137998692,0.7905982905982907,3.091623494436794,1.0,0.08185800488570438,3.554303866739634,0.7987936971720757,0.4204545454545454,0.7186509545912008,0.6318720353247208
"frozenset({'電影節目', '多線路服務'})","frozenset({'無限資料下載', '音樂節目', '電視節目', '電話服務'})",0.2079790712884238,0.2158273381294964,0.1353826030085023,0.6509433962264152,3.016037735849057,1.0,0.09049503366567702,2.246548706980362,0.8439665386134347,0.4693877551020409,0.5548727713346029,0.6391080617495712
"frozenset({'無限資料下載', '音樂節目', '電視節目', '電話服務'})","frozenset({'電影節目', '多線路服務'})",0.2158273381294964,0.2079790712884238,0.1353826030085023,0.6272727272727273,3.016037735849057,1.0,0.09049503366567702,2.124934198982278,0.8524132429198245,0.4693877551020409,0.5293971924029728,0.6391080617495712
"frozenset({'電影節目', '多線路服務'})","frozenset({'音樂節目', '電視節目', '電話服務'})",0.2079790712884238,0.25572269457161545,0.16023544800523218,0.7704402515723271,3.012795766378742,1.0,0.10705047948085433,3.242194289400361,0.8435160686900687,0.5280172413793104,0.6915669109438384,0.6985193585227365
"frozenset({'音樂節目', '電視節目', '電話服務'})","frozenset({'電影節目', '多線路服務'})",0.25572269457161545,0.2079790712884238,0.16023544800523218,0.6265984654731458,3.012795766378742,1.0,0.10705047948085433,2.1210971447001805,0.8976256231842473,0.5280172413793104,0.5285458742431378,0.6985193585227365
"frozenset({'電影節目', '網路類型_Fiber Optic'})","frozenset({'無限資料下載', '音樂節目', '電視節目', '電話服務'})",0.21517331589274036,0.2158273381294964,0.1393067364290386,0.6474164133738602,2.9996960486322193,1.0,0.09286645242341118,2.224075911684446,0.8494014084507043,0.47757847533632286,0.550375059256574,0.6464354794142029
"frozenset({'無限資料下載', '音樂節目', '電視節目', '電話服務'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.2158273381294964,0.21517331589274036,0.1393067364290386,0.6454545454545455,2.999696048632219,1.0,0.09286645242341118,2.2136137244050915,0.8501098333117975,0.47757847533632286,0.54825,0.6464354794142029
"frozenset({'多線路服務', '電影節目', '無限資料下載'})","frozenset({'音樂節目', '電視節目', '電話服務'})",0.17658600392413343,0.25572269457161545,0.1353826030085023,0.7666666666666667,2.9980392156862745,1.0,0.09022555426138903,3.189759880407363,0.8093725178713264,0.4559471365638767,0.6864967779730522,0.6480392156862745
"frozenset({'電影節目', '網路類型_Fiber Optic'})","frozenset({'音樂節目', '多線路服務'})",0.21517331589274036,0.23871811641595814,0.15304120340091562,0.7112462006079027,2.9794395636424196,1.0,0.10167543472802469,2.6364393652542075,0.8465135327635327,0.508695652173913,0.6207005504548825,0.6761710455094307
"frozenset({'音樂節目', '多線路服務'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.23871811641595814,0.21517331589274036,0.15304120340091562,0.6410958904109588,2.9794395636424196,1.0,0.10167543472802469,2.1867308373980894,0.8726943636737451,0.508695652173913,0.5426963470319633,0.6761710455094307
"frozenset({'電影節目', '多線路服務'})","frozenset({'音樂節目', '設備保護計劃', '電話服務'})",0.2079790712884238,0.21778940483976456,0.13472858077174624,0.6477987421383647,2.9744272574461252,1.0,0.08943294261671345,2.2209193684013826,0.8381102033944504,0.4629213483146067,0.5497360173324078,0.6332086803784917
"frozenset({'音樂節目', '設備保護計劃', '電話服務'})","frozenset({'電影節目', '多線路服務'})",0.21778940483976456,0.2079790712884238,0.13472858077174624,0.6186186186186186,2.9744272574461252,1.0,0.08943294261671345,2.0767162933933454,0.8486216189888626,0.4629213483146067,0.5184705762740444,0.6332086803784917
"frozenset({'網路類型_Fiber Optic', '電影節目', '無限資料下載'})","frozenset({'音樂節目', '多線路服務'})",0.18378024852844996,0.23871811641595814,0.1301504251144539,0.7081850533807831,2.9666162921074446,1.0,0.08627875035128567,2.608783040086779,0.8121778765622988,0.4451901565995527,0.6166795074048259,0.6266952664164189
"frozenset({'電影節目', '網路類型_Fiber Optic', '無限資料下載'})","frozenset({'音樂節目', '電視節目', '電話服務'})",0.18378024852844996,0.25572269457161545,0.1393067364290386,0.7580071174377225,2.964176170236004,1.0,0.09230995606630221,3.0756165121378847,0.8118379077886121,0.4640522875816993,0.6748619354677309,0.6513820753429023
"frozenset({'音樂節目', '電視節目', '電話服務'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.25572269457161545,0.21517331589274036,0.16285153695225638,0.6368286445012787,2.95960789496187,1.0,0.10782683681225541,2.1610368555347783,0.889611168752338,0.5286624203821656,0.5372591645353794,0.6968337751381773
"frozenset({'電影節目', '網路類型_Fiber Optic'})","frozenset({'音樂節目', '電視節目', '電話服務'})",0.21517331589274036,0.25572269457161545,0.16285153695225638,0.756838905775076,2.9596078949618696,1.0,0.10782683681225541,3.060840418574231,0.8436479250334672,0.5286624203821656,0.673292343523806,0.6968337751381773
"frozenset({'多線路服務', '音樂節目', '無限資料下載'})","frozenset({'電影節目', '網路類型_Fiber Optic'})",0.2053629823413996,0.21517331589274036,0.1301504251144539,0.6337579617834396,2.9453371536987207,1.0,0.08596179124243267,2.1429180766059095,0.8311723225179396,0.4481981981981983,0.5333466029723992,0.619310591833969
